feature,importance
return_1d,0.012469883407951932
intraday_return,0.006400118093976286
log_return_1d,0.0052804709968162335
overnight_return,0.004482577946642339
volatility_10,0.001855700764848408
dist_sma_200,0.0017499705396762544
vol_ratio_10_60,0.001169840603357824
dist_sma_50,0.0011273460861934018
momentum_20_5,0.0011005870176415218
volatility_20,0.001014366388229399
sma_50_over_200,0.0008532596568841249
return_5d,0.0007703655936121389
return_20d,0.0006781160624179296
parkinson_vol_20,0.0006357969130648618
momentum_120_20,0.0005995601594772227
downside_vol_20,0.0005822756476748419
garman_klass_vol_20,0.0005088930294315047
vol_zscore_expanding,0.0004851269252871338
bb_position,0.0003969413001993539
vol_percentile_expanding,0.0003890959105132728
return_2d,0.0003868229843427806
rsi_14,0.0003717979900519818
return_10d,0.0003599948517391481
volatility_60,0.0003574303931525543
return_60d,0.00035136627882506854
xs_rank_volatility_20,0.00033840490404142966
bb_width,0.00024182106989384202
days_since_high_252,0.00021896299126175146
drawdown_from_peak,0.0001766773471904072
trend_regime,0.0001502559796159525
xs_rank_return_5d,0.000146650547072138
turnover_trend_20,0.00014593616361725296
volume_zscore_60,0.00014567345012534864
momentum_60_5,0.00010860590975504392
dist_sma_20,0.0001017811398792324
volume_direction_20,0.00010110554826760878
log_turnover,9.843600033990346e-05
up_day_ratio_20,6.995226509515558e-05
xs_rank_return_20d,6.61223107904394e-05
relative_volume_20,3.904100046587308e-05
atr_pct_14,3.854697719602076e-05
macd_hist,2.896150168774997e-05
xs_rank_relative_volume_20,2.2318545605495654e-05
macd,7.808578935875954e-06
macd_signal,1.007424445097043e-06
